placeName,candidate,rule
Baiocas et Constantiae Lugdunensis secundae,Baiocas,generated
Baiocas et Constantiae Lugdunensis secundae,Baiocas et Constantiae Lugdunensis secundae,original
Baiocas et Constantiae Lugdunensis secundae,Constantia,generated
Baiocas et Constantiae Lugdunensis secundae,Constantiae Lugdunensis secundae,generated
balistaria et clibanaria,balistaria,generated
balistaria et clibanaria,balistaria et clibanaria,original
balistaria et clibanaria,clibanaria,generated
Banasam,Banasa,generated
Banasam,Banasam,original
Barbalisso,Barbalisso,original
Barbalisso,Barbalissum,generated
Barboniaco,Barboniaco,original
Barboniaco,Barboniacum,generated
Batavis,Batavis,original
Belgicae primae,Belgica,generated
Belgicae primae,Belgicae,generated
Belgicae primae,Belgicae primae,original
Belgicae secundae,Belgica,generated
Belgicae secundae,Belgicae,generated
Belgicae secundae,Belgicae secundae,original
Benetis,Benetis,original
Benosabae,Benosaba,generated
Benosabae,Benosabae,original
Bethallaha,Bethallaha,original
Betproclis,Betproclis,original
Betthoro,Betthoro,original
Betthoro,Betthorum,generated
Bingio,Bingio,original
Bingio,Bingium,generated
Bireo,Bireo,original
Bireo,Bireum,generated
Birsama,Birsama,original
Blabia,Blabia,original
Bodobrica,Bodobrica,original
Boiodoro,Boiodoro,original
Boiodoro,Boiodorum,generated
Bononia,Bononia,original
Bononiae,Bononia,generated
Bononiae,Bononiae,original
Bononiae in Aemilia,Bononia,generated
Bononiae in Aemilia,Bononiae,generated
Bononiae in Aemilia,Bononiae in Aemilia,original
Bonoriae,Bonoria,generated
Bonoriae,Bonoriae,original
Borcovicio,Borcovicio,original
Borcovicio,Borcovicium,generated
Bostra,Bostra,original
Branoduno,Branoduno,original
Branoduno,Branodunum,generated
Bregtione,Bregtione,original
Bremetenraco,Bremetenraco,original
Bremetenraco,Bremetenracum,generated
Burgenas,Burgenas,original
Burgentas,Burgentas,original
Burgo Novo,Burgo,generated
Burgo Novo,Burgo Novo,original
Burgo Novo,Burgum,generated
Burgo Severi,Burgo,generated
Burgo Severi,Burgo Severi,original
Burgo Severi,Burgum,generated
Burgo Zono,Burgo,generated
Burgo Zono,Burgo Zono,original
Burgo Zono,Burgum,generated
Busiris,Busiris,original
Caballoduno,Caballoduno,original
Caballoduno,Caballodunum,generated
Caelio,Caelio,original
Caelio,Caelium,generated
Caene - Parembole,Caene,generated
Caene - Parembole,Caene - Parembole,original
Caene - Parembole,Parembole,generated
Caesarea Cappadociae,Caesarea,generated
Caesarea Cappadociae,Caesarea Cappadociae,original
Caini,Caini,original
Caini,Cainus,generated
Calabriae,Calabria,generated
Calabriae,Calabriae,original
Calamona,Calamona,original
Calaronae,Calarona,generated
Calaronae,Calaronae,original
Callinico,Callinico,original
Callinico,Callinicum,generated
Cambidano,Cambidano,original
Cambidano,Cambidanum,generated
Campona,Campona,original
Candidiana,Candidiana,original
Cannabiaca,Cannabiaca,original
Capidaua,Capidaua,original
Caput Basensis,Caput,generated
Caput Basensis,Caput Basensis,original
Cardabiaca,Cardabiaca,original
Carnunta Senoniae Lugdunensis,Carnunta,generated
Carnunta Senoniae Lugdunensis,Carnunta Senoniae Lugdunensis,original
Carnunto,Carnunto,original
Carnunto,Carnuntum,generated
Carso,Carso,original
Carso,Carsum,generated
Cartha,Cartha,original
Casama,Casama,original
Castra Iudaeorum,Castra,generated
Castra Iudaeorum,Castra Iudaeorum,original
Castrabarensis,Castrabarensis,original
Cebro,Cebro,original
Cebro,Cebrum,generated
Cefae,Cefa,generated
Cefae,Cefae,original
Cefro,Cefro,original
Cefro,Cefrum,generated
Chaszanenica,Chaszanenica,original
Chenoboscia,Chenoboscia,original
Chermulae,Chermula,generated
Chermulae,Chermulae,original
Chiaca,Chiaca,original
Cii,Cii,original
Cii,Cius,generated
Cilurno,Cilurno,original
Cilurno,Cilurnum,generated
Cimbrianis,Cimbrianis,original
Circesio,Circesio,original
Circesio,Circesium,generated
Cirpe,Cirpe,original
Cirpi,Cirpi,original
Cirpi,Cirpus,generated
Claudiana,Claudiana,original
Comagenis,Comagenis,original
Como,Como,original
Como,Comum,generated
Concangios,Concangios,original
Conderco,Conderco,original
Conderco,Condercum,generated
Confluentibus,Confluentibus,original
Confluentibus siue Brecantia,Brecantia,generated
Confluentibus siue Brecantia,Confluentibus,generated
Confluentibus siue Brecantia,Confluentibus siue Brecantia,original
Congavata,Congavata,original
Constantia,Constantia,original
Constantiae,Constantia,generated
Constantiae,Constantiae,original
Constantina,Constantina,original
Copto,Copto,original
Copto,Coptos,generated
Copto,Coptum,generated
Cornacii,Cornacii,original
Cornacii,Cornacius,generated
Cornaco,Cornaco,original
Cornaco,Cornacum,generated
Cremonae,Cremona,generated
Cremonae,Cremonae,original
Crispitia,Crispitia,original
Crumero,Crumero,original
Crumero,Crumerum,generated
Cuccis,Cuccis,original
Cunna,Cunna,original
Cuppis,Cuppis,original
Cusas,Cusas,original
Cusi,Cusi,original
Cusi,Cusus,generated
Dabana,Dabana,original
Dalmatiae et Saviae,Dalmatia,generated
Dalmatiae et Saviae,Dalmatiae,generated
Dalmatiae et Saviae,Dalmatiae et Saviae,original
Dalmatiae et Saviae,Savia,generated
Dalmatiae et Saviae,Saviae,generated
Damasci,Damasci,original
Damasci,Damascus,generated
Danaba,Danaba,original
Dano,Dano,original
Dano,Danum,generated
Dascusa,Dascusa,original
Deruentione,Deruentione,original
Dia - Fenis,Dia,generated
Dia - Fenis,Dia - Fenis,original
Dia - Fenis,Fenis,generated
Dicti,Dicti,original
Dicti,Dictus,generated
Dimo,Dimo,original
Dimo,Dimum,generated
Dionisiada,Dionisiada,original
Diospoli,Diospoli,original
Diospoli,Diospolus,generated
Dirigothia,Dirigothia,original
Domana,Domana,original
Dortico,Dortico,original
Dortico,Dorticum,generated
Drasdea,Drasdea,original
Drobeta,Drobeta,original
Dubris,Dubris,original
Duga,Duga,original
Duodecimo constituta,Duodecimo,generated
Duodecimo constituta,Duodecimo constituta,original
Duodecimo constituta,Duodecimum,generated
Durostoro,Durostoro,original
Durostoro,Durostorum,generated
Ebruduni Sapaudiae,Ebruduni,generated
Ebruduni Sapaudiae,Ebruduni Sapaudiae,original
Ebruduni Sapaudiae,Ebrudunus,generated
Edesa,Edesa,original
Epuso Belgicae primae,Epuso,generated
Epuso Belgicae primae,Epuso Belgicae primae,original
Epuso Belgicae primae,Epusum,generated
Euhari,Euhari,original
Euhari,Euharus,generated
Fafianae,Fafiana,generated
Fafianae,Fafianae,original
Fanomantis Belgicae secundae,Fanomantis,generated
Fanomantis Belgicae secundae,Fanomantis Belgicae secundae,original
Filas,Filas,original
Flaviana,Flaviana,original
Flexo,Flexo,original
Flexo,Flexum,generated
Florentiae,Florentia,generated
Florentiae,Florentiae,original
Foenicionis,Foenicionis,original
Foetibus,Foetibus,original
Foro Fuluiensi,Foro,generated
Foro Fuluiensi,Foro Fuluiensi,original
Foro Fuluiensi,Forum,generated
Friglas,Friglas,original
Gabrosenti,Gabrosenti,original
Gabrosenti,Gabrosentus,generated
Gadda,Gadda,original
Ganaba,Ganaba,original
Gariannonor,Gariannonor,original
Gerolate,Gerolate,original
Glannibanta,Glannibanta,original
Gomoha,Gomoha,original
Graio,Graio,original
Graio,Graium,generated
Grannona in litore Saxonico,Grannona,generated
Grannona in litore Saxonico,Grannona in litore Saxonico,original
Grannono,Grannono,original
Grannono,Grannonum,generated
Gratiana,Gratiana,original
Guntiae,Guntia,generated
Guntiae,Guntiae,original
Hadrianopolis Haemimonti,Hadrianopolis,generated
Hadrianopolis Haemimonti,Hadrianopolis Haemimonti,original
Hasta,Hasta,original
Hauanae,Hauana,generated
Hauanae,Hauanae,original
Helela,Helela,original
Hermunthi,Hermunthi,original
Hermunthi,Hermunthus,generated
Hermupoli,Hermupoli,original
Hermupoli,Hermupolus,generated
Hibeos - Oaseos maioris,Hibeos,generated
Hibeos - Oaseos maioris,Hibeos - Oaseos maioris,original
Hibeos - Oaseos maioris,Oaseos maioris,generated
Hipponos,Hipponos,original
Hunno,Hunno,original
Hunno,Hunnum,generated
Iehibo,Iehibo,original
Iehibo,Iehibum,generated
Inplateypegiis,Inplateypegiis,original
Intercisa,Intercisa,original
Iovia,Iovia,original
Ioviaco,Ioviaco,original
Ioviaco,Ioviacum,generated
Iprosmis,Iprosmis,original
Isiu,Isiu,original
Lacufelicis,Lacufelicis,original
Laedemata,Laedemata,original
Laedenatae,Laedenata,generated
Laedenatae,Laedenatae,original
Lapurdo,Lapurdo,original
Lapurdo,Lapurdum,generated
Lataui,Lataui,original
Lataui,Latauus,generated
Latius,Latius,original
Lato,Lato,original
Lato,Latum,generated
Lauriaco,Lauriaco,original
Lauriaco,Lauriacum,generated
Lavatres,Lavatres,original
Legione,Legione,original
Lemannis,Lemannis,original
Lentiae,Lentia,generated
Lentiae,Lentiae,original
Leonatae,Leonata,generated
Leonatae,Leonatae,original
Libona,Libona,original
Lico,Lico,original
Lico,Licum,generated
Lingonas,Lingonas,original
Longovicio,Longovicio,original
Longovicio,Longovicium,generated
Luco,Luco,original
Luco,Lucum,generated
Luguvallii,Luguvallii,original
Luguvallii,Luguvallius,generated
Lussonio,Lussonio,original
Lussonio,Lussonium,generated
Magis,Magis,original
Maglone,Maglone,original
Magnis,Magnis,original
Maiocariri,Maiocariri,original
Maiocariri,Maiocarirus,generated
Mannatias,Mannatias,original
Maratha,Maratha,original
Marcianopoli,Marcianopoli,original
Marcianopoli,Marcianopolis,generated
Marcianopoli,Marcianopolus,generated
Marcis in litore Saxonico,Marcis,generated
Marcis in litore Saxonico,Marcis in litore Saxonico,original
Margo,Margo,original
Margo,Margum,generated
Marinanae,Marinana,generated
Marinanae,Marinanae,original
Marmantharum,Marmantharum,original
Massiliae Graecorum,Massilia,generated
Massiliae Graecorum,Massiliae,generated
Massiliae Graecorum,Massiliae Graecorum,original
Matrice,Matrice,original
Matthana,Matthana,original
Maximianopoli,Maximianopoli,original
Maximianopoli,Maximianopolis,generated
Maximianopoli,Maximianopolus,generated
Mediana,Mediana,original
Mediolana,Mediolana,original
Mediolana,Mediolanum,generated
Mefa,Mefa,original
Mefana - Cartha,Cartha,generated
Mefana - Cartha,Mefana,generated
Mefana - Cartha,Mefana - Cartha,original
Melitena,Melitena,original
Memfi,Memfi,original
Memfi,Memfus,generated
Memfi,Memphis,generated
Menochiae,Menochia,generated
Menochiae,Menochiae,original
Metita,Metita,original
Miseno,Miseno,original
Miseno,Misenum,generated
Moahile,Moahile,original
Mochora,Mochora,original
Mogontiaco,Mogontiaco,original
Mogontiaco,Mogontiacum,generated
Moleaatha,Moleaatha,original
Monte Iovis,Monte,generated
Monte Iovis,Monte Iovis,original
Morbio,Morbio,original
Morbio,Morbium,generated
Motha,Motha,original
Mursae,Mursa,generated
Mursae,Mursae,original
Muson,Muson,original
Mutheos,Mutheos,original
Naarsafari,Naarsafari,original
Naarsafari,Naarsafarus,generated
Naithu,Naithu,original
Narmunthi,Narmunthi,original
Narmunthi,Narmunthus,generated
Nazala,Nazala,original
Nee,Nee,original
Neia,Neia,original
Nemetis,Nemetis,original
Neocaesereae,Neocaeserea,generated
Neocaesereae,Neocaesereae,original
Nicomediae,Nicomedia,generated
Nicomediae,Nicomediae,original
Nitnu,Nitnu,original
Norici mediterranei et ripensis,Norici,generated
Norici mediterranei et ripensis,Norici mediterranei,generated
Norici mediterranei et ripensis,Norici mediterranei et ripensis,original
Norici mediterranei et ripensis,Noricus,generated
Norici mediterranei et ripensis,ripensis,generated
Nouas,Nouas,original
Nouioduno,Nouioduno,original
Nouioduno,Nouiodunum,generated
Nouioduro,Nouioduro,original
Nouioduro,Nouiodurum,generated
Novariae,Novaria,generated
Novariae,Novariae,original
Novas,Novas,original
Noviomago Belgicae secundae,Noviomago,generated
Noviomago Belgicae secundae,Noviomago Belgicae secundae,original
Noviomago Belgicae secundae,Noviomagum,generated
Novis,Novis,original
Oasi maiore,Oasi,generated
Oasi maiore,Oasi maiore,original
Oasi maiore,Oasus,generated
Oasi minore,Oasi,generated
Oasi minore,Oasi minore,original
Oasi minore,Oasus,generated
Oasi minore - Trimtheos,Oasi,generated
Oasi minore - Trimtheos,Oasi minore,generated
Oasi minore - Trimtheos,Oasi minore - Trimtheos,original
Oasi minore - Trimtheos,Oasus,generated
Oasi minore - Trimtheos,Trimtheos,generated
Occariba,Occariba,original
Odiabo,Odiabo,original
Odiabo,Odiabum,generated
Oesco,Oesco,original
Oesco,Oescum,generated
Olenaco,Olenaco,original
Olenaco,Olenacum,generated
Olitione,Olitione,original
Ombos,Ombos,original
Oneuatha,Oneuatha,original
operum alter,operum,generated
operum alter,operum alter,original
Opittergii,Opittergii,original
Opittergii,Opittergius,generated
or the legiones,or,generated
or the legiones,or the legiones,original
Oraba,Oraba,original
Oresa,Oresa,original
Osismis,Osismis,original
Othonae,Othona,generated
Othonae,Othonae,original
Otthara,Otthara,original
Pacatiana,Pacatiana,original
Paetaonio,Paetaonio,original
Paetaonio,Paetaonium,generated
Palmira,Palmira,original
Palmira,Palmyra,generated
Pampane,Pampane,original
Pannoniae primae,Pannonia,generated
Pannoniae primae,Pannoniae,generated
Pannoniae primae,Pannoniae primae,original
Pannoniae secundae,Pannonia,generated
Pannoniae secundae,Pannoniae,generated
Pannoniae secundae,Pannoniae secundae,original
Pannoniae secundae - translati Salonis,Pannonia,generated
Pannoniae secundae - translati Salonis,Pannoniae,generated
Pannoniae secundae - translati Salonis,Pannoniae secundae,generated
Pannoniae secundae - translati Salonis,Pannoniae secundae - translati Salonis,original
Pannoniae secundae - translati Salonis,translati Salonis,generated
Pannoniae secundae - translati Salonis,translatus,generated
Parembole,Parembole,original
Parisius,Parisius,original
Parroduno,Parroduno,original
Parroduno,Parrodunum,generated
Patauio,Patauio,original
Patauio,Patauium,generated
Peamu,Peamu,original
Pelusio,Pelusio,original
Pelusio,Pelusium,generated
Pescla,Pescla,original
Petrianis,Petrianis,original
Pictavis,Pictavis,original
Pinco,Pinco,original
Pinco,Pincum,generated
Pinianis,Pinianis,original
Pithiae,Pithia,generated
Pithiae,Pithiae,original
Poisrietemidos,Poisrietemidos,original
Ponte Aeli,Ponte,generated
Ponte Aeli,Ponte Aeli,original
Portu Epatiaci,Portu,generated
Portu Epatiaci,Portu Epatiaci,original
Portum Adurni,Portum,generated
Portum Adurni,Portum Adurni,original
Praesidio,Praesidio,original
Praesidio,Praesidium,generated
Precteos,Precteos,original
Procolitia,Procolitia,original
provinciae Tripolitanae,provincia,generated
provinciae Tripolitanae,provinciae,generated
provinciae Tripolitanae,provinciae Tripolitanae,original
provinciae Viennensis,provincia,generated
provinciae Viennensis,provinciae,generated
provinciae Viennensis,provinciae Viennensis,original
Psinaula,Psinaula,original
Quadratis et Eporizio,Eporizio,generated
Quadratis et Eporizio,Eporizium,generated
Quadratis et Eporizio,Quadratis,generated
Quadratis et Eporizio,Quadratis et Eporizio,original
Quadrato,Quadrato,original
Quadrato,Quadratum,generated
quadriborgio,quadriborgio,original
quadriborgio,quadriborgium,generated
Quadriburgio,Quadriburgio,original
Quadriburgio,Quadriburgium,generated
quam civilium,qua,generated
quam civilium,quam,generated
quam civilium,quam civilium,original
qui adorata clementia principali cum insignibus exit transacto biennio,qui,generated
qui adorata clementia principali cum insignibus exit transacto biennio,qui adorata clementia principali cum insignibus exit transacto biennio,original
qui adorata clementia principali cum insignibus exit transacto biennio,quus,generated
qui adorata clementia principalis cum insignibus exit,qui,generated
qui adorata clementia principalis cum insignibus exit,qui adorata clementia principalis cum insignibus exit,original
qui adorata clementia principalis cum insignibus exit,quus,generated
qui completa militia adorat protector,qui,generated
qui completa militia adorat protector,qui completa militia adorat protector,original
qui completa militia adorat protector,quus,generated
qui completa militia adoratÝprotector,qui,generated
qui completa militia adoratÝprotector,qui completa militia adoratÝprotector,original
qui completa militia adoratÝprotector,quus,generated
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,qui,generated
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,original
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,quus,generated
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit transacto biennio,qui,generated
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit transacto biennio,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit transacto biennio,original
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit transacto biennio,quus,generated
qui de scola agentum in rebus est,qui,generated
qui de scola agentum in rebus est,qui de scola agentum in rebus est,original
qui de scola agentum in rebus est,quus,generated
qui numerarii fiunt,qui,generated
qui numerarii fiunt,qui numerarii fiunt,original
qui numerarii fiunt,quus,generated
qui primicerius est exceptorum,qui,generated
qui primicerius est exceptorum,qui primicerius est exceptorum,original
qui primicerius est exceptorum,quus,generated
quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,quibus,generated
quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,original
Quintanis,Quintanis,original
Raetiae secundae,Raetia,generated
Raetiae secundae,Raetiae,generated
Raetiae secundae,Raetiae secundae,original
Rasin,Rasin,original
Ratiaria,Ratiaria,original
Ravennae,Ravenna,generated
Ravennae,Ravennae,original
Redonas Lugdensis tertiae,Redonas,generated
Redonas Lugdensis tertiae,Redonas Lugdensis tertiae,original
Regionis Samnitis,Regionis,generated
Regionis Samnitis,Regionis Samnitis,original
Regulbio,Regulbio,original
Regulbio,Regulbium,generated
Remo et Silvanectas Belgicae secundae,Remo,generated
Remo et Silvanectas Belgicae secundae,Remo et Silvanectas Belgicae secundae,original
Remo et Silvanectas Belgicae secundae,Remum,generated
Remo et Silvanectas Belgicae secundae,Silvanectas Belgicae secundae,generated
Rene,Rene,original
Resaia,Resaia,original
Resain - Theodosiopoli,Resain,generated
Resain - Theodosiopoli,Resain - Theodosiopoli,original
Resain - Theodosiopoli,Theodosiopoli,generated
Resain - Theodosiopoli,Theodosiopolus,generated
Ricti,Ricti,original
Ricti,Rictus,generated
Rinocoruna,Rinocoruna,original
Ripa Alta,Ripa,generated
Ripa Alta,Ripa Alta,original
Ripaltha,Ripaltha,original
Robatha,Robatha,original
Rosafa,Rosafa,original
Rotomago,Rotomago,original
Rotomago,Rotomagum,generated
Rutupis,Rutupis,original
Sabaiae,Sabaia,generated
Sabaiae,Sabaiae,original
Sabbu,Sabbu,original
Sabure siue Veterocariae,Sabure,generated
Sabure siue Veterocariae,Sabure siue Veterocariae,original
Sabure siue Veterocariae,Veterocaria,generated
Sabure siue Veterocariae,Veterocariae,generated
Sacidaua,Sacidaua,original
Sala,Sala,original
Saletione,Saletione,original
Salsouia,Salsouia,original
Saltatha,Saltatha,original
Salutaria,Salutaria,original
Saradiniae et Corsicae,Corsica,generated
Saradiniae et Corsicae,Corsicae,generated
Saradiniae et Corsicae,Saradinia,generated
Saradiniae et Corsicae,Saradiniae,generated
Saradiniae et Corsicae,Saradiniae et Corsicae,original
Sardis Lydiae,Sardis,generated
Sardis Lydiae,Sardis Lydiae,original
Satala,Satala,original
Saviae,Savia,generated
Saviae,Saviae,original
Scenas extra Gerasa,Scenas,generated
Scenas extra Gerasa,Scenas extra Gerasa,original
Scenas Mandrorum,Scenas,generated
Scenas Mandrorum,Scenas Mandrorum,original
Scenas Ueteranorum,Scenas,generated
Scenas Ueteranorum,Scenas Ueteranorum,original
Scenas Veteranorum,Scenas,generated
Scenas Veteranorum,Scenas Veteranorum,original
scordiscorum et armorum,armorum,generated
scordiscorum et armorum,scordiscorum,generated
scordiscorum et armorum,scordiscorum et armorum,original
Scythiam et Pontum,Pontum,generated
Scythiam et Pontum,Scythia,generated
Scythiam et Pontum,Scythiam,generated
Scythiam et Pontum,Scythiam et Pontum,original
Sebastopolis,Sebastopolis,original
Secundarum,Secundarum,original
Securisca,Securisca,original
sed adiutorem de scola notariorum,sed,generated
sed adiutorem de scola notariorum,sed adiutorem de scola notariorum,original
sed adiutores de scriniis quos voluerit,sed,generated
sed adiutores de scriniis quos voluerit,sed adiutores de scriniis quos voluerit,original
sed adiutores electos de scriniis,sed,generated
sed adiutores electos de scriniis,sed adiutores electos de scriniis,original
Segeduno,Segeduno,original
Segeduno,Segedunum,generated
Selle,Selle,original
Serianae,Seriana,generated
Serianae,Serianae,original
Seruitii,Seruitii,original
Seruitii,Seruitius,generated
Sexagintaprista,Sexagintaprista,original
Silili,Silili,original
Silili,Sililus,generated
Siluanis,Siluanis,original
Sina Iudaeorum,Sina,generated
Sina Iudaeorum,Sina Iudaeorum,original
Singiduno,Singiduno,original
Singiduno,Singidunum,generated
Siosta,Siosta,original
Sirmi,Sirmi,original
Sirmi,Sirmus,generated
Sisciae,Siscia,generated
Sisciae,Sisciae,original
Sisila,Sisila,original
Solua,Solua,original
Solue,Solue,original
Sosteos,Sosteos,original
Speluncis,Speluncis,original
Submuntorio,Submuntorio,original
Submuntorio,Submuntorium,generated
Sucidaua,Sucidaua,original
Suene,Suene,original
Suissa,Suissa,original
Sura,Sura,original
Syene,Syene,original
Tabernas,Tabernas,original
Tabernis,Tabernis,original
Tacasiria,Tacasiria,original
Talamonio,Talamonio,original
Talamonio,Talamonium,generated
Taliata,Taliata,original
Taliatae,Taliata,generated
Taliatae,Taliatae,original
Tamuco,Tamuco,original
Tamuco,Tamucum,generated
Tarba,Tarba,original
Taurinis,Taurinis,original
Tauruno,Tauruno,original
Tauruno,Taurunum,generated
Tauruno siue Marsonia,Marsonia,generated
Tauruno siue Marsonia,Tauruno,generated
Tauruno siue Marsonia,Tauruno siue Marsonia,original
Tauruno siue Marsonia,Taurunum,generated
Teglicio,Teglicio,original
Teglicio,Teglicium,generated
Tegra,Tegra,original
Tentira,Tentira,original
Teriolis,Teriolis,original
Teutibarcio,Teutibarcio,original
Teutibarcio,Teutibarcium,generated
Teutiborgio,Teutiborgio,original
Teutiborgio,Teutiborgium,generated
Thainatha,Thainatha,original
Thama,Thama,original
Thamana,Thamana,original
Thannuri,Thannuri,original
Thannuri,Thannurus,generated
Thaubasteos,Thaubasteos,original
Thebas,Thebae,generated
Thebas,Thebas,original
Thelsee,Thelsee,original
Thenenuthi,Thenenuthi,original
Thenenuthi,Thenenuthus,generated
Theraco,Theraco,original
Theraco,Theracum,generated
Thilbisme,Thilbisme,original
Thillaamana,Thillaamana,original
Thillacama,Thillacama,original
Thillafica,Thillafica,original
Thillazamana,Thillazamana,original
Thinunepis,Thinunepis,original
Thmou,Thmou,original
Tohu,Tohu,original
Toloha,Toloha,original
Touia -contra Bintha,Touia,generated
Touia -contra Bintha,Touia -contra Bintha,original
Transalba,Transalba,original
Transdiernis,Transdiernis,original
Transdrobeta,Transdrobeta,original
Transiacinco,Transiacinco,original
Transiacinco,Transiacincum,generated
Transluco,Transluco,original
Transluco,Translucum,generated
Transmariscae,Transmarisca,generated
Transmariscae,Transmariscae,original
Trapezunta,Trapezunta,original
Trapezunta,Trapezus,generated
Tricomia,Tricomia,original
Tricornio,Tricornio,original
Tricornio,Tricornium,generated
Trimammio,Trimammio,original
Trimammio,Trimammium,generated
Trosmis,Trosmis,original
Tunnocelo,Tunnocelo,original
Tunnocelo,Tunnocelum,generated
Ualtha,Ualtha,original
Ulucitra,Ulucitra,original
Uto,Uto,original
Uto,Utum,generated
Vale Alba,Vale,generated
Vale Alba,Vale Alba,original
Valentia,Valentia,original
Vallatio,Vallatio,original
Vallatio,Vallatium,generated
Valle Diocletiana,Valle,generated
Valle Diocletiana,Valle Diocletiana,original
Vangiones,Vangiones,original
Varina,Varina,original
Variniana,Variniana,original
Veleia,Veleia,original
Venaxamodorum,Venaxamodorum,original
Venetiae,Venetia,generated
Venetiae,Venetiae,original
Venetiae et Histriae,Histria,generated
