provinceId,canonicalName,document,notitiaForms,sourceRefs,geoObjectIds,geojsonNames,geojsonDioceses,mappingType,status,note,evidenceUrl
P0086,Picenum Suburbicarium,Occidens,Picenum Suburbicarium | Piceni suburbicarii,Occidentis:62 | Occidentis:140 | Occidentis:946,55,FLAMINIA ET PICENUM,ITALIA,SHARED_GEOJSON,SHARED,,
P0087,Pisidia,Oriens,Pisidia | Pisidiae,Oriens:99 | Oriens:167,33,PISIDIA,ASIANA,DIRECT,MATCH,,
P0088,Pontus Polemoniacus,Oriens,Pontus Polemoniacus | Ponti Polemoniaci,Oriens:111 | Oriens:180 | Oriens:754,73,PONTUS POLEMONIACUS,PONTICA,DIRECT,MATCH,,
P0089,Praevalitana,Oriens,Praevalitana | Praeualitanae | Praeualitana et pars Macedoniae salutaris,Oriens:126 | Oriens:224,50,PRAEVALITANA,MOESIAE,DIRECT,MATCH,,
P0090,Raetia Prima,Occidens,Raetia Prima | Raetiae primae,Occidentis:96 | Occidentis:146,90,RAETIA,ITALIA,SHARED_GEOJSON,SHARED,,
P0091,Raetia Secunda,Occidens,Raetia Secunda | Raetiae secundae,Occidentis:97 | Occidentis:147,90,RAETIA,ITALIA,SHARED_GEOJSON,SHARED,,
P0092,Rhodope,Oriens,Rhodope | Rhodopae | Rhodopa,Oriens:117 | Oriens:189 | Oriens:774,47,RHODOPE,THRACIA,DIRECT,MATCH,,
P0093,Samnium,Occidens,Samnium | Samnii,Occidentis:98 | Occidentis:148 | Occidentis:952,55,FLAMINIA ET PICENUM,ITALIA,REPRESENTATIVE_GEOJSON,APPROXIMATE,No exact ca. 303-324 polygon exists for the later Provincia Samnii. Use FLAMINIA ET PICENUM as the representative GeoJSON boundary: Bovianum and Aesernia fall inside this polygon. The later Samnium province was not equivalent to earlier Campania.,https://www.viamicaelicamolisana.it/il-territorio/
P0094,Sardinia,Occidens,Sardinia | Saradiniae,Occidentis:100 | Occidentis:150 | Occidentis:953,34,SARDINIA,ITALIA,DIRECT,MATCH,,
P0095,Savia,Occidens,Savia | Saviae,Occidentis:87 | Occidentis:154,79,SAVIA,PANNONIAE,DIRECT,MATCH,,
P0096,Scythia,Oriens,Scythia | Scythiae,Oriens:56 | Oriens:119 | Oriens:191 | Oriens:776,81,SCYTHIA,THRACIA,DIRECT,MATCH,,
P0097,Sicilia,Occidens,Sicilia | Siciliae,Occidentis:64 | Occidentis:142 | Occidentis:947,18,SICILIA,ITALIA,DIRECT,MATCH,,
P0098,Syria,Oriens,Syria | Syriae,Oriens:64 | Oriens:144 | Oriens:676,26,SYRIA COELE,ORIENS,NAME_VARIANT,MATCH,,
P0099,Syria Salutaris,Oriens,Syria Salutaris | Syriae salutaris | Syria salutaris,Oriens:94 | Oriens:153 | Oriens:683,26,SYRIA COELE,ORIENS,SHARED_GEOJSON,SHARED,,
P0100,Tarraconensis,Occidens,Tarraconensis,Occidentis:106 | Occidentis:191 | Occidentis:998,61,TARRACONENSIS,HISPANIAE,DIRECT,MATCH,,
P0101,Thebais,Oriens,Thebais | Thebaidos,Oriens:44 | Oriens:86 | Oriens:160 | Oriens:706,1,THEBAIS,ORIENS,DIRECT,MATCH,,
P0102,Thessalia,Oriens,Thessalia | Thessaliae,Oriens:121 | Oriens:216,29,THESSALIA,MOESIAE,DIRECT,MATCH,,
P0103,Thracia,Oriens,Thracia | Thraciae,Oriens:76 | Oriens:139 | Oriens:187 | Oriens:772,57,THRACIA,THRACIA,DIRECT,MATCH,,
P0104,Tingitania,Occidens,Tingitania | Tingitaniae,Occidentis:36 | Occidentis:108 | Occidentis:193 | Occidentis:275 | Occidentis:1000,14,MAURETANIA TINGITANA,HISPANIAE,NAME_VARIANT,MATCH,,
P0105,Tripolitana,Occidens,Tripolitana | Tripolitanae | Tripolis,Occidentis:104 | Occidentis:164 | Occidentis:975,4,TRIPOLITANA,AFRICA,DIRECT,MATCH,,
P0106,Tuscia et Umbria,Occidens,Tuscia et Umbria | Tusciae et Umbriae,Occidentis:61 | Occidentis:139 | Occidentis:945,60,TUSCIA ET UMBRIA,ITALIA,DIRECT,MATCH,,
P0107,Valentia,Occidens,Valentia | Valentiae,Occidentis:81 | Occidentis:215 | Occidentis:1053,96,BRITANNIAE I AND II,BRITTANIAE,COARSE_GEOJSON,APPROXIMATE,,
P0108,Valeria,Occidens,Valeria | Valeriae,Occidentis:99 | Occidentis:149 | Occidentis:955,85,VALERIA,PANNONIAE,DIRECT,MATCH,,
P0109,Venetia et Histria,Occidens,Venetia et Histria | Venetiae et Histriae | Venetiae,Occidentis:57 | Occidentis:135,80,VENETIA ET HISTRIA,ITALIA,DIRECT,MATCH,,
P0110,Viennensis,Occidens,Viennensis,Occidentis:73 | Occidentis:196 | Occidentis:1018,78,VIENNENSIS,VIENNENSIS,DIRECT,MATCH,,
P0111,Africa Proconsularis,Occidens,Africa Proconsularis | Provincia proconsularis,Occidentis:928,15,AFRICA PROCONSULARIS,AFRICA,DIRECT,MATCH,,
P0112,Alpes Cottiae,Occidens,Alpes Cottiae | Alpium Cottiarum,Occidentis:95 | Occidentis:145,67,ALPES COTTIAE,ITALIA,DIRECT,MATCH,,
P0113,Asia,Oriens,Asia,Oriens:640,30,ASIA,ASIANA,DIRECT,MATCH,,
P0114,Augustamnica,Oriens,Augustamnica | Augustamnicae,Oriens:130 | Oriens:709,6,AEGYPTUS HERCULIA,ORIENS,HISTORICAL_PARENT,APPROXIMATE,"Augustamnica continues the tetrarchic AEGYPTUS HERCULIA, but by the Notitia period Arcadia had already been detached; this is therefore an earlier-parent boundary, not an exact late-4th-century outline.",https://en.wikipedia.org/wiki/Augustamnica
P0115,Narbonensis Prima,Occidens,Narbonensis Prima | Narbonensis primae | Narbonensis prima,Occidentis:117 | Occidentis:208 | Occidentis:1031,63,NARBONENSIS I,VIENNENSIS,DIRECT,MATCH,,
P0116,Narbonensis Secunda,Occidens,Narbonensis Secunda | Narbonensis secundae | Narbonensis secunda,Occidentis:118 | Occidentis:209 | Occidentis:1032,56,NARBONENSIS II,VIENNENSIS,DIRECT,MATCH,,
P0117,Paphlagonia,Oriens,Paphlagonia | Paflagoniae,Oriens:131,65,PAPHLAGONIA,PONTICA,DIRECT,MATCH,,
P0118,Phrygia Pacatiana,Oriens,Phrygia Pacatiana | Frygiae Pacatianae | Frygia Pacatiana,Oriens:101 | Oriens:169 | Oriens:730,36,PHRYGIA I,ASIANA,NAME_VARIANT,MATCH,,
P0119,Phrygia Salutaris,Oriens,Phrygia Salutaris | Frygiae salutaris | Frygia salutaris,Oriens:102 | Oriens:170 | Oriens:731,40,PHRYGIA II,ASIANA,NAME_VARIANT,MATCH,,
P0120,Pannonia,Occidens,Pannonia | Pannoniae,Occidentis:55,86 | 76,PANNONIA SUPERIOR | PANNONIA INFERIOR,PANNONIAE,COARSE_MULTI,APPROXIMATE,Generic Notitia Pannonia is represented by both GeoJSON Pannonias.,
