sourceLine,provinceName,rank,score,method,pleiadesId,pleiadesTitle,matchedName,placeTypes,description
122,Lugdunensis tertiae,2,0.812,SIMILAR,991324,Lugdunensis II,Lugdunensis II,province,"An ancient place, cited: BAtlas 101 F2 Lugdunensis II"
122,Lugdunensis tertiae,3,0.759,SIMILAR,167817,Lugdunensis,Lugdunensis,unknown,"An ancient place, cited: BAtlas 17 C2 Lugdunensis"
122,Lugdunensis tertiae,4,0.759,SIMILAR,981528,Lugdunensis,Lugdunensis,province,"An ancient place, cited: BAtlas 100 F2 Lugdunensis"
1769,Lycaoniae,1,1.000,NORMALIZED,648698,Lycaonia,Lycaonia,region,"An ancient place, cited: BAtlas 66 B2 Lycaonia"
1769,Lycaoniae,2,1.000,NORMALIZED,982262,Lycaonia,Lycaonia,province,"An ancient place, cited: BAtlas 100 N4 no. 6 (Lycaonia)"
1769,Lycaoniae,3,0.875,SIMILAR,1001911,Lykaonia,Lykaonia,province,"An ancient place, cited: BAtlas 102 F4 no. 25 (Lykaonia)"
1769,Lycaoniae,4,0.800,SIMILAR,442639,Lucania,Lucania,region,An ancient region of south Italy stretching from the Tyrrhenian Sea to the Gulf of Taranto.
1769,Lycaoniae,5,0.800,SIMILAR,658433,Chaonia/Channunia,Chaonia,station,"An ancient place, cited: BAtlas 67 E3 Chaonia/Channunia"
1772,Lyciae,1,1.000,NORMALIZED,638965,Lycia,Lycia,region,Lycia was a region of southwestern Asia Minor.
1772,Lyciae,2,0.909,SIMILAR,462227,Halicyae,Alicia,settlement,A town of the  Elymians located between Lilybaeum and Entella.
1772,Lyciae,3,0.833,SIMILAR,554272,Lycide,Lycide,unlocated,"An ancient place, cited: BAtlas 56 unlocated Lycide"
1772,Lyciae,4,0.833,SIMILAR,628957,Cilicia,Cilicia,labeled feature,"An ancient place, cited: BAtlas 64 B4 Cilicia"
1772,Lyciae,5,0.833,SIMILAR,658440,Cilicia,Cilicia,region,"An ancient region, stretching along the southern coast of Asia Minor as far north as the Taurus mountains and westward from the Amanus mountains to the river Melas or, according to some ancient commentators, all the way to the coastal city of Korakesion (modern Alanya in Turkey)"
1797,Macedoniae salutaris,1,0.700,SIMILAR,736963,Memphis,V Macedonia garrison,urban | settlement,A city and capital of Ancient Egypt that remained an important center for most of Egyptian history (BAtlas 75 E1 Memphis).
105,Mauretaniae Sitifensis,1,0.977,SIMILAR,991334,Mauretania Sitifensis,Mauretania Sitifensis,province,"An ancient place, cited: BAtlas 101 G5 Mauretania Sitifensis"
105,Mauretaniae Sitifensis,2,0.800,SIMILAR,285482,Mauretania Caesariensis,Mauretania Caesariensis,province,"Mauretania Caesariensis was the easternmost of the North African Roman provinces, with its capital located at Caesarea (now Cherchell)."
105,Mauretaniae Sitifensis,3,0.800,SIMILAR,981532,Mauretania Caesariensis,Mauretania Caesariensis,province,"An ancient place, cited: BAtlas 100 G4 Mauretania Caesariensis"
82,Maximae Caesariensis,1,0.791,SIMILAR,285482,Mauretania Caesariensis,Mauretania Caesariensis,province,"Mauretania Caesariensis was the easternmost of the North African Roman provinces, with its capital located at Caesarea (now Cherchell)."
82,Maximae Caesariensis,2,0.791,SIMILAR,981532,Mauretania Caesariensis,Mauretania Caesariensis,province,"An ancient place, cited: BAtlas 100 G4 Mauretania Caesariensis"
1728,Moesiae primae,1,0.714,SIMILAR,876570,Armeniae Pylae,Armeniae Pylae,unlocated,"An ancient place, cited: BAtlas 89 unlocated Armeniae Pylae"
1728,Moesiae primae,2,0.700,SIMILAR,992077,Moesiae,Moesiae,province,"An ancient place, cited: BAtlas 101 L3 Moesiae"
1724,Moesiae secundae,,,,,,,,
54,Mogontiacensis,1,0.741,SIMILAR,622181,Timoniacenses,Timoniacenses,people,An ancient people whose territory is unlocated
54,Mogontiacensis,2,0.720,SIMILAR,109169,Mogontiacum,Mogontiacum,settlement,The original Roman settlement at Mogontiacum (modern Mainz) was established by Drusus ca. 13/12 BC. The settlement became an important military center throughout Roman times and was the base of operations for numerous Roman legions.
94,Norici mediterranei,1,0.878,SIMILAR,991346,Noricum Mediterraneum,Noricum Mediterraneum,province,"An ancient place, cited: BAtlas 101 J2 Noricum Mediterraneum"
94,Norici mediterranei,2,0.757,SIMILAR,991365,Dacia Mediterranea,Dacia Mediterranea,province,"An ancient place, cited: BAtlas 101 L3 Dacia Mediterranea"
94,Norici mediterranei,3,0.706,SIMILAR,344436,Mediterranei M.,Mediterranei M.,mountain,"An ancient place, cited: BAtlas 35 E2 Mediterranei M."
95,Norici ripensis,1,0.800,SIMILAR,991347,Noricum Ripense,Noricum Ripense,province,"An ancient place, cited: BAtlas 101 J2 Noricum Ripense"
95,Norici ripensis,2,0.759,SIMILAR,991366,Dacia Ripensis,Dacia Ripensis,province,"An ancient place, cited: BAtlas 101 L3 Dacia Ripensis"
69,Numidiae,1,1.000,NORMALIZED,305120,Numidia,Numidia,region,"An ancient place, cited: BAtlas 31 E4 Numidia"
69,Numidiae,2,1.000,NORMALIZED,981539,Numidia,Numidia,province,"An ancient place, cited: BAtlas 100 H4 Numidia"
69,Numidiae,3,0.933,SIMILAR,305119,Numidae,Numidae,people,"An ancient place, cited: BAtlas 31 B4 Numidae"
69,Numidiae,4,0.875,SIMILAR,471980,Numisiae,Numisiae,unknown,"An ancient place, cited: BAtlas 48 A2 Numisiae"
69,Numidiae,5,0.769,SIMILAR,746776,Madiane/Midian,Midian,labeled feature,"An ancient place, cited: BAtlas 76 F4 Madiane/Midian"
1718,Osrhoenae,1,0.941,SIMILAR,658561,Osrhoene,Osrhoene,region,Osrhoene was a Syriac-speaking kingdom of upper Mesopotamia that enjoyed semi-autonomy to complete independence from 132 BC to AD 244.
1718,Osrhoenae,2,0.941,SIMILAR,991406,Osrhoene,Osrhoene,province,"An ancient place, cited: BAtlas 101 P4 Osrhoene"
1718,Osrhoenae,3,0.875,SIMILAR,1001935,Osroene,Osroene,province,"An ancient place, cited: BAtlas 102 G4 no. 49 (Osroene)"
1718,Osrhoenae,4,0.750,SIMILAR,639024,*Orokenda,Orokenda,settlement,"An ancient place, cited: BAtlas 65 G4 *Orokenda"
1718,Osrhoenae,5,0.750,SIMILAR,863794,Gogarene/(T)Osarene,Osarene,region,"Gogarene/(T)Osarene was a fertile region of Caucasia that was, at various times, part of either Armenia or Iberia."
1759,Palaestinae salutaris,1,0.769,SIMILAR,1001921,Galatia Saloutaria,Galatia Saloutaria,province,"An ancient place, cited: BAtlas 102 F4 no. 35 (Galatia Saloutaria)"
1759,Palaestinae salutaris,2,0.722,SIMILAR,383734,Pagus Salutaris,Pagus Salutaris,unknown,"An ancient place, cited: BAtlas 39 F4 Pagus Salutaris"
1760,Palaestinae secundae,,,,,,,,
1737,Pamfyliae,1,1.000,NORMALIZED,639034,Pamphylia,Pamphylia,region,"An ancient place, cited: BAtlas 65 E4 Pamphylia"
1737,Pamfyliae,2,1.000,NORMALIZED,494603,Pamphylia,Pamphylia,unlocated,"An ancient place, cited: BAtlas 50 unlocated Pamphylia"
1737,Pamfyliae,3,1.000,NORMALIZED,1001913,Pamphylia,Pamphylia,province,"An ancient place, cited: BAtlas 102 F4 no. 27 (Pamphylia)"
1737,Pamfyliae,4,0.857,SIMILAR,541006,Pamphia,Pamphia,settlement,"An ancient place, cited: BAtlas 55 B3 Pamphia"
1737,Pamfyliae,5,0.824,SIMILAR,570073,Amphidolia,Amphidolia,unknown,"An ancient place, cited: BAtlas 58 B2 Amphidolia"
57,Pannoniae,1,1.000,NORMALIZED,197425,Pannonia,Pannonia,province,"An ancient place, cited: BAtlas 20 C3 Pannonia"
57,Pannoniae,2,1.000,NORMALIZED,992076,Pannoniae,Pannoniae,province,"An ancient place, cited: BAtlas 101 J2 Pannoniae"
57,Pannoniae,3,1.000,NORMALIZED,1001905,Pannonia,Pannonia,province,"An ancient place, cited: BAtlas 102 C2 no. 19 (Pannonia)"
57,Pannoniae,4,0.933,SIMILAR,589972,Pannona?,Pannona,settlement,"An ancient place, cited: BAtlas 60 D2 Pannona?"
57,Pannoniae,5,0.800,SIMILAR,462407,Pakonia? Ins.,Pakonia,island,"An ancient place, cited: BAtlas 47 C2 Pakonia? Ins."
93,Pannoniae primae,1,0.750,SIMILAR,992076,Pannoniae,Pannoniae,province,"An ancient place, cited: BAtlas 101 J2 Pannoniae"
45,Pannoniae primae et Norici ripensis,,,,,,,,
46,Pannoniae secundae,,,,,,,,
64,Piceni suburbicarii,,,,,,,,
98,Raetiae primae,1,0.762,SIMILAR,207376,Ratiaria,Ratiaria,settlement | fort,"An ancient place, cited: BAtlas 21 E6 Ratiaria"
98,Raetiae primae,2,0.714,SIMILAR,786004,Cataracta Prima,Cataracta Prima,rapid,The First Cataract of the Nile is located at Aswan.
98,Raetiae primae,3,0.714,SIMILAR,876570,Armeniae Pylae,Armeniae Pylae,unlocated,"An ancient place, cited: BAtlas 89 unlocated Armeniae Pylae"
48,Raetiae primae et secundae,,,,,,,,
99,Raetiae secundae,1,0.750,SIMILAR,795794,Cataracta Secunda,Cataracta Secunda,rapid,The Second Cataract (or Great Cataract) was located in Nubia.
100,Samnii,1,0.923,SIMILAR,69569,Sena (island),Samnis,island,Sena Ins. (modern Île de Sein).
100,Samnii,2,0.857,SIMILAR,433078,Samnium,Samnium,region,Samnium is the Latin name for a region of south and central Italy inhabited by the Samnites.
100,Samnii,3,0.857,SIMILAR,138480,Namnetes/Samnitai,Samnitai,unknown,"An ancient place, cited: BAtlas 14 D1 Namnetes/Samnitai"
100,Samnii,4,0.833,SIMILAR,570653,Samikon/Samia,Samus,settlement,"An ancient place, cited: BAtlas 58 B2 Samikon/Samia"
100,Samnii,5,0.833,SIMILAR,255976,Anas (river),Samus,river,"An ancient place, cited: BAtlas 26 C3 Anas fl."
49,Sequanicae,1,0.941,SIMILAR,991338,Sequania,Sequania,province,"Sequania was a district of Belgica under the dominion of Augustus. Under Diocletian, with the addition of Helvetia and part of Germania Superior, the district became known as Provincia Maxima Sequanorum."
49,Sequanicae,2,0.875,SIMILAR,167922,Sequani,Sequani,people,"The Sequani were a Gallic tribe occupying the river basin of the Arar (Saône), the valley of the Doubs, and the Jura Mountains. "
49,Sequanicae,3,0.875,SIMILAR,109341,Sequana (river),Sequana,river,Sequana fl. (the Seine river) flows from the plateau of Langres to the English Channel.
